Title,Author,Year,Rating,Readers
Laut Bercerita,Leila S. Chudori,"4.64 avg rating — 10,081 ratings
              —
                published
               2017","4.64 avg rating — 10,081 ratings","43
               people read it"
Jakarta Sebelum Pagi,Ziggy Zezsyazeoviennazabrizkie,"4.30 avg rating — 2,662 ratings
              —
                published
               2016","4.30 avg rating — 2,662 ratings","40
               people read it"
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"4.47 avg rating — 1,529,121 ratings
              —
                published
               2017","4.47 avg rating — 1,529,121 ratings","40
               people read it"
It Ends with Us,Colleen Hoover,"4.38 avg rating — 1,650,787 ratings
              —
                published
               2016","4.38 avg rating — 1,650,787 ratings","31
               people read it"
The Midnight Library,Matt Haig,"4.03 avg rating — 1,125,349 ratings
              —
                published
               2020","4.03 avg rating — 1,125,349 ratings","29
               people read it"
"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,"3.75 avg rating — 142,843 ratings
              —
                published
               2015","3.75 avg rating — 142,843 ratings","28
               people read it"
Ugly Love,Colleen Hoover,"4.22 avg rating — 934,804 ratings
              —
                published
               2014","4.22 avg rating — 934,804 ratings","27
               people read it"
The Psychology of Money,Morgan Housel,"4.39 avg rating — 77,059 ratings
              —
                published
               2021","4.39 avg rating — 77,059 ratings","25
               people read it"
"The Final Gambit (The Inheritance Games, #3)",Jennifer Lynn Barnes,"4.23 avg rating — 40,992 ratings
              —
                published
               2022","4.23 avg rating — 40,992 ratings","24
               people read it"
The Miracles of the Namiya General Store,Keigo Higashino,"4.45 avg rating — 18,915 ratings
              —
                published
               2012","4.45 avg rating — 18,915 ratings","23
               people read it"
Verity,Colleen Hoover,"4.42 avg rating — 1,223,712 ratings
              —
                published
               2018","4.42 avg rating — 1,223,712 ratings","20
               people read it"
Love on the Brain,Ali Hazelwood,"4.06 avg rating — 91,253 ratings
              —
                published
               2022","4.06 avg rating — 91,253 ratings","20
               people read it"
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"4.38 avg rating — 464,593 ratings
              —
                published
               2018","4.38 avg rating — 464,593 ratings","20
               people read it"
Beauty Is a Wound,Eka Kurniawan,"4.05 avg rating — 12,055 ratings
              —
                published
               2002","4.05 avg rating — 12,055 ratings","18
               people read it"
Cursed Bunny,Bora Chung,"3.92 avg rating — 4,785 ratings
              —
                published
               2017","3.92 avg rating — 4,785 ratings","18
               people read it"
The Song of Achilles,Madeline Miller,"4.38 avg rating — 952,644 ratings
              —
                published
               2011","4.38 avg rating — 952,644 ratings","18
               people read it"
The Alchemist,Paulo Coelho,"3.90 avg rating — 2,635,653 ratings
              —
                published
               1988","3.90 avg rating — 2,635,653 ratings","18
               people read it"
I'm Glad My Mom Died,Jennette McCurdy,"4.66 avg rating — 122,041 ratings
              —
                published
               2022","4.66 avg rating — 122,041 ratings","18
               people read it"
"The Ballad of Never After (Once Upon a Broken Heart, #2)",Stephanie Garber,"4.63 avg rating — 12,869 ratings
              —
                published
               2022","4.63 avg rating — 12,869 ratings","17
               people read it"
Pulang,Leila S. Chudori,"4.27 avg rating — 5,842 ratings
              —
                published
               2012","4.27 avg rating — 5,842 ratings","17
               people read it"
Gadis Kretek,Ratih Kumala,"4.09 avg rating — 2,394 ratings
              —
                published
               2012","4.09 avg rating — 2,394 ratings","16
               people read it"
Tuesdays with Morrie,Mitch Albom,"4.14 avg rating — 912,640 ratings
              —
                published
               1997","4.14 avg rating — 912,640 ratings","16
               people read it"
Almond,Sohn Won-Pyung,"4.20 avg rating — 47,484 ratings
              —
                published
               2017","4.20 avg rating — 47,484 ratings","16
               people read it"
"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,"4.23 avg rating — 268,554 ratings
              —
                published
               2020","4.23 avg rating — 268,554 ratings","16
               people read it"
Reminders of Him,Colleen Hoover,"4.52 avg rating — 528,355 ratings
              —
                published
               2022","4.52 avg rating — 528,355 ratings","16
               people read it"
Convenience Store Woman,Sayaka Murata,"3.71 avg rating — 173,330 ratings
              —
                published
               2016","3.71 avg rating — 173,330 ratings","16
               people read it"
I Want to Die But I Want to Eat Tteokpokki,Baek Se-hee,"3.69 avg rating — 7,244 ratings
              —
                published
               2018","3.69 avg rating — 7,244 ratings","15
               people read it"
Filosofi Teras,Henry Manampiring,"4.50 avg rating — 5,408 ratings
              —
                published
               2018","4.50 avg rating — 5,408 ratings","15
               people read it"
Conversations on Love,Natasha Lunn,"4.38 avg rating — 6,149 ratings
              —
                published
               2021","4.38 avg rating — 6,149 ratings","15
               people read it"
Crying in H Mart,Michelle Zauner,"4.30 avg rating — 198,559 ratings
              —
                published
               2021","4.30 avg rating — 198,559 ratings","15
               people read it"
Perempuan yang Menangis kepada Bulan Hitam,Dian Purnomo,"4.66 avg rating — 1,296 ratings
              —
                published
               2020","4.66 avg rating — 1,296 ratings","15
               people read it"
The Little Prince,Antoine de Saint-Exupéry,"4.32 avg rating — 1,791,676 ratings
              —
                published
               1943","4.32 avg rating — 1,791,676 ratings","15
               people read it"
"The Hawthorne Legacy (The Inheritance Games, #2)",Jennifer Lynn Barnes,"4.26 avg rating — 139,154 ratings
              —
                published
               2021","4.26 avg rating — 139,154 ratings","15
               people read it"
People We Meet on Vacation,Emily Henry,"3.96 avg rating — 660,826 ratings
              —
                published
               2021","3.96 avg rating — 660,826 ratings","14
               people read it"
Where the Crawdads Sing,Delia Owens,"4.43 avg rating — 2,127,022 ratings
              —
                published
               2018","4.43 avg rating — 2,127,022 ratings","14
               people read it"
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,"4.36 avg rating — 383,656 ratings
              —
                published
               2019","4.36 avg rating — 383,656 ratings","14
               people read it"
Maaf Tuhan Aku Hampir Menyerah,alfialghazi,"4.34 avg rating — 1,383 ratings","4.34 avg rating — 1,383 ratings","14
               people read it"
"The Poppy War (The Poppy War, #1)",R.F. Kuang,"4.14 avg rating — 137,153 ratings
              —
                published
               2018","4.14 avg rating — 137,153 ratings","14
               people read it"
The Love Hypothesis,Ali Hazelwood,"4.29 avg rating — 728,053 ratings
              —
                published
               2021","4.29 avg rating — 728,053 ratings","14
               people read it"
Di Tanah Lada,Ziggy Zezsyazeoviennazabrizkie,"4.14 avg rating — 2,955 ratings
              —
                published
               2015","4.14 avg rating — 2,955 ratings","13
               people read it"
"Newcomer (Detective Kaga, #2)",Keigo Higashino,"4.05 avg rating — 7,117 ratings
              —
                published
               2009","4.05 avg rating — 7,117 ratings","13
               people read it"
Kita Pergi Hari Ini,Ziggy Zezsyazeoviennazabrizkie,4.29 avg rating — 929 ratings,4.29 avg rating — 929 ratings,"13
               people read it"
Norwegian Wood,Haruki Murakami,"4.03 avg rating — 490,703 ratings
              —
                published
               1987","4.03 avg rating — 490,703 ratings","13
               people read it"
The Silent Patient,Alex Michaelides,"4.17 avg rating — 1,201,064 ratings
              —
                published
               2019","4.17 avg rating — 1,201,064 ratings","13
               people read it"
Beach Read,Emily Henry,"4.06 avg rating — 609,918 ratings
              —
                published
               2020","4.06 avg rating — 609,918 ratings","12
               people read it"
Book Lovers,Emily Henry,"4.28 avg rating — 394,736 ratings
              —
                published
               2022","4.28 avg rating — 394,736 ratings","12
               people read it"
"The American Roommate Experiment (Spanish Love Deception, #2)",Elena  Armas,"4.01 avg rating — 25,220 ratings
              —
                published
               2022","4.01 avg rating — 25,220 ratings","12
               people read it"
Men Without Women,Haruki Murakami,"3.76 avg rating — 82,408 ratings
              —
                published
               2014","3.76 avg rating — 82,408 ratings","12
               people read it"
Progresnya Berapa Persen?,Soraya Nasution,"4.08 avg rating — 1,268 ratings
              —
                published
               2019","4.08 avg rating — 1,268 ratings","11
               people read it"
"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",Stephanie Garber,"4.15 avg rating — 59,063 ratings
              —
                published
               2021","4.15 avg rating — 59,063 ratings","11
               people read it"
